Date,Filename,Species,Licor_type,Licor_name,Flow,PAR,Notes
12-01-2022,jcg_pime_lh,Piper methysticum,6400,Angert,200,1600,"Photo, cond OK but low"
13-01-2022,jcg_vifa_lh,Vicia faba,6400,Angert,200,1600,"Photo, cond OK"
18-01-2022,jcg_coar_lh,Coffea arabica,6400,Angert,200,1600,"Photo, cond OK but low"
18-01-2022,jcg_capa_lh,Carica papaya,6400,Angert,200,1600,"Photo, cond OK"
18-01-2022,jcg_stre_lh,Strelitzia reginae,6400,Angert,200,1600,"Photo, cond OK, cond low"
19-01-2022,jcg_some_lh,Solanum melongena,6400,Angert,200,1600,"Photo, cond OK"
19-01-2022,jcg_rico_lh,Ricinus communus,6400,Angert,200,1600,"Photo, cond OK"
19-01-2022,jcg_gesp_lh,Geraniaceae sp.,6400,Angert,200,1600,
26-01-2022,jcg_sama_lh,Salacca magnifica,6400,Angert,200,1600,"Photo, cond very low but above zero"
26-01-2022,jcg_anan_lh,Anthurium andraeanum x amnicola,6400,Angert,200,1600,"Photo, cond OK"